id	hash	cluster
503	12491758217524151690	-1
504	4754772908381721570	-1
505	1809490919190233780	-1
506	15364215688319967051	-1
508	9751666981159099246	-1
509	5621307187928513346	-1
510	10327458400375499446	-1
511	8203711009534041564	-1
512	1368352803424968948	-1
514	11837767414023969172	-1
515	11511537011453611332	-1
516	14978684854512440647	-1
517	328314109254027742	-1
518	157027501733319205	-1
519	14106798646577178729	-1
520	17170011665372451740	-1
521	11926110916953628532	-1
522	16411220655320331077	-1
523	5532169578896434650	-1
525	14538597955690845609	-1
527	16518618091282510803	-1
529	6981265895020011794	-1
531	903662001059526794	-1
534	17367633838735954871	-1
535	12376653295314900477	-1
536	15939805535204013771	-1
539	1264431288562932493	-1
540	14479816895107338429	-1
541	1071195270981892610	-1
542	7398969919846519382	-1
543	534445951176076949	-1
546	11643756757504565135	-1
549	7905717400959946758	-1
551	11622694373908547157	-1
552	10736029452833926421	-1
553	6148124613968036269	-1
554	6611732504340208703	-1
555	2276054622019146550	-1
556	5594524878107524512	-1
557	12877407495163086214	-1
559	623750072479816259	-1
560	142549946956478743	-1
561	10331399359005137441	-1
562	15062212995547137686	-1
564	9769900066148740005	-1
